Renovation of the residential stock (cumulative),2030,2035,2040,2045,2050
No of dwellings renovated,4.455.000,6.939.000,9.919.800,13.496.760,17.789.112
No of buildings renovated,1.485.000,2.313.000,3.306.600,4.498.920,5.929.704
Rehabilitated area (m²),474.457.500,739.003.500,1.056.458.700,1.437.404.940,1.894.540.428
No of dwellings renovated (43% less efficient),2.385.975,3.578.963,4.771.951,5.964.938,7.157.926
No of buildings renovated (43% less efficient),1.266.388,1.899.582,2.532.775,3.165.969,3.799.163
Rehabilitated area (m²) (43% less efficient),254.106.373,381.159.560,508.212.746,635.265.933,762.319.119
