Exclusions,Buildings,Area (m²),% buildings²,% m²
Protected buildings (< 1900),352.291,113.411.528,3.84%,2.94%
Religious buildings,41.668,26.524.588,0.41%,0.61%
Industrial buildings and warehouses,—,1.148.078.440,—,26.4%
Non-primary dwellings,7.736.614,1.126.615.596,,20.49%
