Type of Building,Depth of renovation level,Number of dwellings renovated in year X-2 (2023),Number of buildings renovated in year X-2 (2023),Total renovated area in year X-2 (2023) m²,Renewal rate in year X-2 (2023) %,Estimated average renovation depth in year X-2 (2023) %
Residential,Light,323.267,107.756,34.427.936,1.69%,
Residential,Average,185.201,61.734,19.723.907,0.97%,
Residential,Deep,31.532,10.511,3.358.158,0.16%,
Residential,Total,540.000,180.000,57.510.000,2.82%,37.95%
No. Residential,Mild Medium,—,5.686,4.128.784,0.69%,
No. Residential,Deep,—,—,—,—,
No. Residential,Total,—,5.686,4.128.784,0.69%,50.00%
