End-use,Final energy 2030 (ktoe),Final energy 2040 (ktoe),Final energy 2050 (ktoe),Primary energy 2030 (ktoe),Primary energy 2040 (ktoe),Primary energy 2050 (ktoe)
Heating,1.982,1.178,661,2.457,1.302,663
Refrigeration,553,519,385,686,574,386
ACS,1.015,812,447,1.259,897,449
Ventilation,—,—,—,—,—,—
Lighting,1.044,1.090,755,1.295,1.204,758
Other technical building systems,—,—,—,—,—,—
Total,4.594,3.599,2.248,5.696,3.977,2.257
