Construction date Tertiary Edif.,Buildings,Cadastral overhead (m²),% Buildings,% Of cadastral area
< 1850,2.392,4.334.872,0.72%,0.76%
1850-1900,6.805,7.507.789,2.05%,1.32%
1900-1940,38.238,37.195.652,11.54%,36.86%
