measure_id,measure_name,epbd_section,description
DK_011,Measures for full decarbonisation of the gas grid by 2040 to the extent it will be used to heat or cool buildings in 2040,"f) the decarbonisation of heating and cooling, including through district heating and cooling networks, and the phasing out of fossil fuels in heating and cooling with a view to a complete phasing out of fossil fuel boilers by 2040","With its Climate Agreement on Green Electricity and Heat of June 2022, the Danish Government has set forth an ambition to achieve a full green gas supply by 2030. With current and planned policy this ambition is estimated to be met in 2032 through phasing out gas consumption espe- cially in domestic heating and replacing natural gas in the gas grid with domestically produced biomethane. In relation to implemented policies and measures for achieving a decarbonised gas grid by 2032, Denmark would like to refer to Section 2.1.2; 3.1.2 and 3.3 in the final update of the Danish NECP of 2024 for a detailed description of the policies regarding decarbonisation of the gas grid, includ- ing the phase-out of gas boilers in individual housing. According to the Climate Agreement on Green Electricity and Heat of June 2022, the Danish Gov- ernment should in 2026 present possible options for new initiatives and financing required to meet the political ambitions of phasing out fossil fuel gas boilers for domestic heating by 2035 and achieving a decarbonised gas grid by 2030. https://ens.dk/media/6142/download https://ens.dk/media/6128/download https://www.retsinformation.dk/eli/retsinfo/2022/10081 https://www.retsinformation.dk/eli/lta/2025/736#P1 Danish Ministry of Climate, Energy and Utilities (2025), Climate Status & Forecast Report, chapter 28, p.7"
DK_012,Estimated share of boilers in 2040 that would be burning renewable fuels,"f) the decarbonisation of heating and cooling, including through district heating and cooling networks, and the phasing out of fossil fuels in heating and cooling with a view to a complete phasing out of fossil fuel boilers by 2040","Following the adoption of the Climate Agreement on Green Electricity and Heat of June 2022, the Danish gas distribution system operator, Evida, has reported that around 95,000 private gas cus- tomers, accounting more than a fourth of the customers, have already disconnected from the gas grid from January 2022 to September 2025. Projections show that Denmark will have a boiler fleet of 36,000 in 2040 – down from approx. 330,000 in 2023 – and 215,000 in 2030 . As outlined in the previous section, Denmark projects to have full biomethane supply in the Danish gas grid by 2032. Therefore, the remaining boiler fleet will be defined as using renewable gas and not as fossil fuel boilers. In relation to oil fired boilers, projections made under the same policy, economic and technical assumptions show that the Danish oil boiler fleet will be phased out by 2035 from around 24,000 in 2030. Denmark would like to refer to Section 3.2 and 3.3 in the final update of the Danish NECP of 2024 for detailed description of the policies for phasing out boilers in heating."
DK_013,Plan for phasing out the remaining boilers that would be burning fossil fuel in 2040,"f) the decarbonisation of heating and cooling, including through district heating and cooling networks, and the phasing out of fossil fuels in heating and cooling with a view to a complete phasing out of fossil fuel boilers by 2040","In the previous sections it has been outlined that the most recent projections, based upon current measures and policies, show that no boilers in Denmark will be defined as fossil fuel boilers in 2040."
DK_014,Smart Readiness Indicator,m) the promotion of smart technologies and infrastructure for sustainable mobility in buildings,"Regarding the Danish activity around the Smart Readiness Indicator (SRI), a non-binding national testing phase has been carried out during 2022. The Danish test phase was led by the DEA in co- operation with the Danish Technological Institute (DTI). The purpose was to investigate poten- tials and opportunities for the SRI in a Danish context. Assessors from DTI conducted the SRI Cooperation agreement Energy and Building Analysis https://tjekenergimaerke.emoweb.dk/ 98 https://www.teknologisk.dk/ assessment for 25-30 buildings, including offices, dwellings, multi-family homes, educational in- stitutions – old and new – and with different energy supplies. A report has been prepared in con- nection with the test phase. The report provides a brief introduction to the indicator and reviews the results of the tested buildings. In addition, experiences and conclusions from the specific tests are presented."
DK_015,Utility Digitalisation Programme,m) the promotion of smart technologies and infrastructure for sustainable mobility in buildings,"The Utility Digitalisation Programme has been established to create uniform and easy access to data from the utility sector and support better utilisation of resources and infrastructure across 100 101 value chains and utility types . The programme is part of Denmark’s digitalisation strategy , adopted in 2024, and has received funding of approx. 9.5 million euros in the period 2024-2027. The programme has established a partnership between authorities, the utility sector, and data users to set the direction for digitalisation. The programme will develop frameworks and regulations for how data in the utility sector is collected, structured, and made accessible. This includes initiatives such as identifying new digital opportunities, standardisation regarding data models, data formats, metadata and ways to access data, e.g APIs, and adjustments to the national legislation to ensure the necessary rules regarding access to data from the utility sector, e.g the consumers access to data on their energy consumption. Initially, the programme will focus on data in the electricity, heating and water sectors. Easy access to uniform utility data with few legal barriers is a key part of a cost-efficient rollout of smart technologies and infrastructure for sustainable mobility in buildings, e.g building man- agement systems. It therefore supports the implementation of the EPBD by laying the foundation needed to promote smart technologies in buildings and energy efficiency. The programme will develop initiatives throughout its duration (2024-2027), with implementation occurring continu- ously, subject to the necessary political support."
DK_016,Sustainable mobility,m) the promotion of smart technologies and infrastructure for sustainable mobility in buildings,"Denmark intends to implement the EPBD provisions to integrate electric vehicle (EV) charging infrastructure and concrete demands for number of bicycle parking spaces into building design, as part of efforts to decarbonise the transport sector. From 2026, new buildings and major renovations with on-site parking must include EV charging facilities (i.e. a number of operational recharging points along with pre-cabling conduit infrastructure for future chargers) and provide dedicated bicycle parking spaces. By 2027, existing large non-residential buildings are likewise required to retrofit a baseline level of charging capacity or at least make 50 pct. of parking spaces “EV-ready” with cabling provisions. These measures implement Article 14 of the EPBD, ensuring that build- ings are equipped for e-mobility (charging of cars, e-bikes, etc.) and thus supporting the transition https://ens.dk/media/782/download Forside | Forsyningsdigitaliseringsprogram.dk 101 Politisk aftale på plads om Danmarks nye digitaliseringsstrategi | Digitaliseringsministeriet to sustainable, low-carbon transport. The necessary policies and measurements have not yet been implemented in national regulation. The new reuirements are expected to be brought into force in the Building Regulations 2018 (BR18) by 29 May 2026. All new charging points must also be smart – capable of intelligent load management and, where appropriate, two-way vehicle-to-grid (V2G) operation. In practice, this means chargers can opti- mise charging times (for example, shifting to off-peak hours when electricity is cheaper) and in the case of V2G even feed energy from the car back into the home or grid if needed. These smart technologies ensure efficient use of energy and grid capacity while enabling flexibility for EV users. Furthermore, Denmark is intending to implement a national “right to plug” which will be removing legal and practical barriers to private EV charging, in line with the EPBD. New legislation guar- antees that tenants and owner-occupiers in apartment buildings or housing cooperatives have the right to install their own charging point at their parking space, without needing consent from land- lords or co-owners. Residents bear the costs of such installations, but the process has been simpli- fied to encourage uptake. In relation to this, it should be noted that according to current legislation, an installation of a recharching point does not require a building permit. Additionally, building policy is mindful of safety, accessibility, and architectural integration con- cerns alongside the rollout of e-mobility infrastructure. The EPBD explicitly requires Member States to address fire safety in parking structures and to ensure accessibility for persons with disa- bilities in new construction. In line with this, Danish authorities – with input from fire safety ex- perts – are examining measures to manage any fire risks associated with EV batteries in garages (the European Commission will issue dedicated guidance on EV fire safety in car parks by the end of 2025). Likewise, any new charging or bike facilities in buildings must comply with accessibility standards so they can be used by all residents. Planning and design guidelines also emphasise integrating charging stations and bicycle parking seamlessly into new developments in an aestheti- cally coherent way, aligning with broader sustainable mobility and urban planning objectives. By combining these technical requirements and supportive policies, Denmark is promoting smart, fu- ture-proof mobility infrastructure in buildings within the EU policy framework."
DK_017,Knowledge Centre for Energy savings in Buildings,n) addressing market barriers and market failures,"As mentioned previously in Section c, The Knowledge Centre for Energy Savings in Buildings (VEB ) develops, among other things, tools and teaching materials targeted at the performing and vocational education . This was partly done as a result of the study of the compliance of the https://byggeriogenergi.dk/ 103 https://byggeriogenergi.dk/undervisning-i-byggeri-med-fokus-paa-energi Danish Building Code , in order to follow up on one of the recommendations in this study, re- garding enhanced focus on the teachings on energy requirements in the vocational education sys- tem, as well as upskilling the existing work force."
DK_018,EPC and energy consultants,n) addressing market barriers and market failures,"A mandatory training course, to be able to work as an energy consultant in a certified energy labelling company, with the aim of issuing EPCs, is set to be held at Danish business academies. Relevant courses are offered by the academies distributed throughout the country."
DK_019,Removing the price cap on waste heat (surplus heat),n) addressing market barriers and market failures,As of 1 July 2025 the Danish Government removed the price cap on waste heat . This will give more flexibility for the utilisation of waste heat which can contribute to enhanced energy efficiency in district heating.
DK_020,The National Energy Crisis Staff,n) addressing market barriers and market failures,"In 2022 the Danish Government established a national energy crisis staff (NEKST ) which was tasked with speeding up the green transition in Denmark in selected areas. NEKST is a work fel- lowship where public authorities, municipalities, the energy sector and other relevant actors are invited to participate in creating solutions and minimising market barriers for the green transition agenda. Within NEKST three different taskforces were established: a) Outphasing gas-heating in private homes, b) Faster expansion of the power grid and c) More land based solar and wind energy. All three taskforces consisted of members with knowledge and experience on the different issues related to each of the fields, and all had a focus on contributing to identifying and removing barri- ers."
DK_021,Skills gap and upskilling opportunities,"o) addressing skill gaps and promoting education, targeted training, upskilling and reskilling in the construction sector and energy efficiency and renewable energy sectors (whether public or private), with a view to ensuring that there is a sufficient workforce with the appropriate level of skills corresponding to the needs in the building sector, with a special focus on the underrepresented groups","Denmark has continuously had a great focus on the adult education system, to meet the overall objective of promoting upskilling opportunities, especially for individuals with the least education. https://ens.dk/forsyning-og-forbrug/byggeri-og-renovering https://www.retsinformation.dk/eli/lta/2025/738 https://www.kefm.dk/klima/nekst-den-nationale-energikrisestab Education, guidance and upgrading of skills are widely offered to help working-age adults, and especially those most in need of training, improving their employability. The system includes var- ious sub-schemes to upskill the workforce based on education level and union affiliation, focusing on those with the least education and greatest need. Some schemes use a positive list, which defines available upskilling courses aimed at jobs with labour shortages, such as those related to the green transition. These lists are updated annually with input from social partners to ensure alignment with labour market needs. For the unemployed, opportunities focus on skills development for reemployment with schemes such as the Regional Education Fund, vocational training for adults and six weeks of vocational training. Furthermore, a notable scheme is the “Right to educational boost with 110 pct. unemployment benefits” . This scheme gives unemployment benefits to recipients aged 30 or older, who are either unskilled or hold an outdated educational qualification, the right to pursue vocational edu- cation in shortage occupations, with support equal to 110 pct. of their individual unemployment benefits. Eligible educational programmes are listed on a positive list which is developed with input from social partners to identify labour shortages. Programmes related to the green transition can be included if relevant shortages exist."
