epoch,DLG (m ²),SKG (m ²),Total NWG (m ²)
Before 1919,41.409.370,11.021.103,52.430.473
1919 to 1944,9.256.134,5.909.456,15.165.590
1945 to 1960,14.871.554,8.940.416,23.811.970
1961 to 1970,23.112.776,12.313.753,35.426.529
1971 to 1980,34.408.136,17.343.827,51.751.963
1981 to 1990,31.170.748,18.696.703,49.867.451
1991 to 2000,18.830.390,10.788.159,29.618.549
2001 to 2010,27.424.579,14.054.043,41.478.622
2011 and later,22.008.633,11.477.118,33.485.751
