epoch,until 1990,1991 to 2000,2001 to 2010,2011 to 2020
GFA (m ²),412.289.083,479.617.910,560.664.740,641.025.078
∆ GFA (m ²),,,,
,412.289.083,67.328.828,81.046.830,80.360.338
RHEV (kWh/m ²a),"127,8","127,8","127,8","127,8"
WWEV (kWh/m ²a),"23,8","21,3","19,0","17,1"
"HEV A1,Epoche",,,,
(GWh),62.505,10.040,11.895,11.645
"HEV A1,kum (GWh)",62.505,72.544,84.439,96.084
HEV real (GWh),62.505,63.939,65.374,66.809
∆ HEV (GWh),,,,
,0,-8.605,-19.065,-29.276
