year,BGF/Bevölke- ng (m ²/cap),Category: Population of ),RHEV(spec) (kWh/m ²a),∆ RHEV (%),Year (GWh)
,"71,9",8.916.845,"87,0","-10,90 (IST)",56.754
2025,"74,4",9.198.644,"81,5","-8,00 (5a)",55.748
2030,"76,8",9.367.379,"74,4","-16,00 (10a)",53.503
2035,"76,8",9.522.741,"70,8","-20,00 (15a)",51.801
2040,"76,8",9.654.080,"71,4",-4.00 (5a),52.935
2045,"76,8",9.765.463,"68,0",-4.00 (5a),50.996
2050,"76,8",9.852.951,"68,5",-4.00 (5a),51.865
