year,WG (kt),NWG (kt),Building (kt)
2030,4.943,756,5.699
2035,4.166,405,4.571
2040,3.389,53,3.442
2045,2.612,0,2.612
2050,1.834,0,1.834
Source:,Self-calculation,,
