year,Total (GWh),Total trend (GWh),GFA (m ²),RHEV (kWh/m ²a),RHEV Trend (kWh/m ²a),Delta 10a (%)
,50.768,52.677,412.289.083,"123,1","127,8",---
2000,52.190,53.700,479.617.910,"108,8","112,0","-12,4"
,59.485,54.723,560.664.740,"106,1","97,6","-12,8"
2020,56.754,55.745,641.025.078,"88,5","87,0","-10,9"
