epoch,EFH (kWh/m ²a),MFH (kWh/m ²a),GWB (kWh/m ²a),DLG (kWh/m ²a)
Before 1919,"162,4","113,4","89,5","118,8"
1919 to 1944,"203,2","110,3","87,0","115,4"
1945 to 1960,"180,5","97,9","77,3","101,5"
1961 to 1970,"128,4","90,2","71,2","92,9"
1971 to 1980,"108,1","76,5","60,4","77,5"
1981 to 1990,"99,0","70,3","55,5","70,6"
1991 to 2000,"67,6","49,0","38,8","46,9"
2001 to 2010,"67,6","49,0","38,8","46,9"
