year,BGF/cap (m ²/cap),Category: Population of ),HEV (spec) (kWh/m ²a),Increased rung (%),HEV (abs) (GWh)
2020,"72,6",8.916.845,"104,2",---,67.425
2025,"75,7",9.198.644,"98,3",---,68.512
2030,"78,9",9.367.379,"94,4","-9,5",69.756
2035,"78,9",9.522.741,"90,8","-7,6",68.252
2040,"78,9",9.654.080,"91,4","-3,2",69.625
2045,"78,9",9.765.463,"88,0","-3,1",67.808
2050,"78,9",9.852.951,"88,5","-3,1",68.839
