year,Austria (cap)
1990,7.677.850
1991,7.754.891
1992,7.840.709
1993,7.905.632
1994,7.936.118
1995,7.948.278
1996,7.959.016
1997,7.968.041
1998,7.976.789
1999,7.992.323
2000,8.011.566
2001,8.042.293
2002,8.082.121
2003,8.118.245
2004,8.169.441
2005,8.225.278
2006,8.267.948
2007,8.295.189
2008,8.321.541
2009,8.341.483
2010,8.361.069
2011,8.388.534
2012,8.426.311
2013,8.477.230
2014,8.543.932
2015,8.629.519
2016,8.739.806
2017,8.795.073
2018,8.837.707
2019,8.877.637
2020,8.916.845
