epoch,EFH (kWh/m ²a),MFH (kWh/m ²a),GWB (kWh/m ²a),DLG (kWh/m ²a)
Before 1919,"46,9","35,1","27,9","31,4"
1919 to 1944,"46,9","35,1","27,9","31,4"
1945 to 1960,"46,9","35,1","27,9","31,4"
1961 to 1970,"46,9","35,1","27,9","31,4"
1971 to 1980,"46,9","35,1","27,9","31,4"
1981 to 1990,"46,9","35,1","27,9","31,4"
1991 to 2000,"46,9","35,1","27,9","31,4"
2001 to 2010,"46,9","35,1","27,9","31,4"
