EFH MFH epoch (%) (%),,,GWB (%)
Before 1919,"7,57","3,98","4,62"
1919 to 1944,"3,46","1,66","1,12"
1945 to 1960,"5,74","1,92","1,88"
1961 to 1970,"7,33","2,19","3,27"
1971 to 1980,"9,41","1,98","3,84"
1981 to 1990,"9,23","2,17","2,16"
1991 to 2000,"7,60","2,45","1,96"
2001 to 2010,"9,26","2,61","2,59"
