epoch,EFH (kWh/m ²a),MFH (kWh/m ²a),GWB (kWh/m ²a),DLG (kWh/m ²a)
Before 1919,"228,9","162,2","123,3","151,3"
1919 to 1944,"285,3","169,1","126,9","153,9"
1945 to 1960,"296,6","157,9","117,8","140,8"
1961 to 1970,"199,7","142,9","108,2","128,4a"
1971 to 1980,"175,7","127,4","97,2","112,5"
1981 to 1990,"156,3","113,5","86,8","100,4"
1991 to 2000,"76,6","57,5","46,5","53,7"
2001 to 2010,"80,3","60,0","47,9","55,2"
