∆ GFA (m ²),Renovation in 30 years (---),Reference area (m ²),Square meters per year (m²/a)
,,412.289.083,
,408.628.089,(=100%),"13.620.936 (=3,30%)"
RHEV (kWh/m ²a),,,
,,According to the 36 line,
,"-48,4",,
WWEV (kWh/m ²a),,According to the middle WWEV,
,"19,2",,
∆ HEV (GWh),,"corresponding to a total change of -29,3 kWh/m²a",
,-11.967,,
