,year,DELTA HEV (kum) (GWh),DELTA HEV (p.a.) (GWh/a),DELTA HEV (kum) (kt RÖE),DELTA HEV (p.a.) (RÖE/a)
,2020,0,---,0,---
,2025,297,30,26,3
,2030,-614,-47,-53,-4
,2035,-899,-60,-77,-5
,2040,-1.500,-75,-129,-6
,2045,-2.259,-90,-194,-8
,2050,-3.214,-107,-276,-9
Source: Self-calculation,,,,,
