epoch,EFH,MFH,GWB,Total WG,Total WG (kum.)
Before 1919,215.631,36.054,15.852,267.537,267.537
1919 to 1944,121.041,18.427,5.171,144.639,412.176
1945 to 1960,184.973,20.674,7.957,213.604,625.780
1961 to 1970,216.844,21.445,11.739,250.028,875.808
1971 to 1980,259.165,19.043,10.424,288.632,1.164.440
1981 to 1990,249.213,19.372,6.362,274.947,1.439.387
1991 to 2000,204.473,21.697,6.117,232.287,1.671.674
2001 to 2010,209.001,20.519,6.389,235.909,1.907.583
2011 and later,178.267,17.994,12.125,208.386,2.115.969
